epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,11360.7,0.98169,0.42445,1.05739,0.98578,0.94744,0.97891,0.72246,1.03591,0.37245,1.05734,0.004357,0.004357,0.004357
59,11556.4,0.97557,0.42086,1.05195,0.98165,0.95036,0.978,0.71991,1.03824,0.37907,1.05227,0.004258,0.004258,0.004258
60,11752.2,0.98192,0.41866,1.04964,0.98906,0.94695,0.97933,0.72287,1.03694,0.37521,1.05282,0.004159,0.004159,0.004159
61,11947.9,0.97417,0.414,1.04972,0.98538,0.95197,0.97969,0.72596,1.03556,0.37424,1.05312,0.00406,0.00406,0.00406
62,12143.6,0.9707,0.41458,1.04609,0.98294,0.95125,0.97942,0.72401,1.03837,0.36896,1.05648,0.003961,0.003961,0.003961
63,12339.4,0.9681,0.40972,1.05431,0.98541,0.95171,0.97965,0.72624,1.03749,0.36963,1.05817,0.003862,0.003862,0.003862
64,12535,0.96061,0.40882,1.04853,0.99002,0.94934,0.97929,0.7237,1.0379,0.36935,1.05954,0.003763,0.003763,0.003763
65,12730.7,0.95311,0.40698,1.04003,0.9836,0.95634,0.97961,0.72603,1.03853,0.36588,1.05392,0.003664,0.003664,0.003664
66,12926.4,0.94939,0.40276,1.03617,0.98449,0.954,0.97857,0.72702,1.03651,0.36725,1.05201,0.003565,0.003565,0.003565
67,13122.3,0.94906,0.40228,1.04491,0.98406,0.95034,0.97742,0.72532,1.03849,0.36571,1.05725,0.003466,0.003466,0.003466
68,13317.9,0.94381,0.40071,1.03902,0.99169,0.94715,0.97895,0.72848,1.03546,0.36318,1.05321,0.003367,0.003367,0.003367
69,13513.6,0.93876,0.39401,1.03667,0.98747,0.95308,0.97979,0.72726,1.03936,0.365,1.05771,0.003268,0.003268,0.003268
70,13709.3,0.94459,0.39754,1.0409,0.98818,0.95192,0.98075,0.72742,1.04201,0.36444,1.05675,0.003169,0.003169,0.003169
71,13905,0.93093,0.39225,1.03916,0.98825,0.9508,0.98071,0.72762,1.03744,0.36292,1.05631,0.00307,0.00307,0.00307
72,14100.7,0.93939,0.39196,1.03906,0.98267,0.95608,0.9806,0.72817,1.03449,0.36123,1.05479,0.002971,0.002971,0.002971
73,14296.4,0.92379,0.38913,1.03516,0.98311,0.95471,0.97798,0.72746,1.03413,0.36352,1.05689,0.002872,0.002872,0.002872
74,14492.1,0.92454,0.38896,1.03389,0.98675,0.95034,0.97941,0.72909,1.03325,0.36059,1.05429,0.002773,0.002773,0.002773
75,14687.7,0.9169,0.38648,1.02628,0.98536,0.95087,0.97864,0.72611,1.03779,0.36066,1.05468,0.002674,0.002674,0.002674
76,14886.4,0.91729,0.38212,1.0303,0.98581,0.94975,0.97868,0.72891,1.0372,0.35993,1.059,0.002575,0.002575,0.002575
77,15084.6,0.91234,0.37883,1.03194,0.98486,0.95216,0.97815,0.72691,1.03806,0.36121,1.0598,0.002476,0.002476,0.002476
78,15282.8,0.91926,0.37925,1.02442,0.98896,0.94624,0.97849,0.72958,1.03588,0.3589,1.05537,0.002377,0.002377,0.002377
79,15481.2,0.90203,0.37707,1.01541,0.98454,0.95399,0.97852,0.72909,1.03698,0.35851,1.05541,0.002278,0.002278,0.002278
80,15679.8,0.90144,0.37114,1.0144,0.98603,0.9549,0.97963,0.72727,1.03723,0.3561,1.05247,0.002179,0.002179,0.002179
81,15878.6,0.90072,0.36745,1.01635,0.98778,0.95713,0.97962,0.72849,1.03516,0.35356,1.05176,0.00208,0.00208,0.00208
82,16077.2,0.89557,0.3673,1.01055,0.98684,0.95634,0.97908,0.72834,1.0374,0.35411,1.05338,0.001981,0.001981,0.001981
83,16275.7,0.89624,0.37108,1.01391,0.98475,0.9549,0.97883,0.73046,1.03887,0.35545,1.05529,0.001882,0.001882,0.001882
84,16474.3,0.89131,0.36631,1.01084,0.98404,0.95498,0.97822,0.7293,1.03881,0.3556,1.05454,0.001783,0.001783,0.001783
85,16672.6,0.88294,0.36401,1.00853,0.98498,0.95582,0.97927,0.73115,1.04,0.35427,1.05413,0.001684,0.001684,0.001684
86,16871.1,0.87355,0.35885,1.00847,0.98553,0.95535,0.97981,0.73038,1.03996,0.3548,1.05389,0.001585,0.001585,0.001585
87,17069.7,0.87776,0.35807,1.01311,0.98942,0.95216,0.97946,0.73002,1.04238,0.35681,1.05526,0.001486,0.001486,0.001486
88,17268,0.86344,0.35372,1.00549,0.98821,0.95439,0.98021,0.72842,1.04192,0.35581,1.05468,0.001387,0.001387,0.001387
89,17466,0.87387,0.35895,1.00633,0.9938,0.94915,0.98114,0.7289,1.0419,0.35561,1.05421,0.001288,0.001288,0.001288
90,17664.4,0.86544,0.35271,1.00498,0.98315,0.95688,0.97844,0.72757,1.03984,0.35578,1.0528,0.001189,0.001189,0.001189
91,17886.1,0.86247,0.32142,0.99796,0.98344,0.95672,0.97853,0.72451,1.04187,0.35811,1.05498,0.00109,0.00109,0.00109
92,18084.2,0.84443,0.31435,0.99807,0.98725,0.95256,0.97838,0.72573,1.04315,0.35952,1.05705,0.000991,0.000991,0.000991
93,18282,0.83841,0.31354,0.98987,0.98701,0.95171,0.97827,0.72509,1.04506,0.36044,1.05843,0.000892,0.000892,0.000892
94,18479.8,0.8355,0.31179,0.98996,0.98404,0.95526,0.97816,0.72432,1.04714,0.36257,1.06014,0.000793,0.000793,0.000793
95,18677.6,0.82737,0.30934,0.98699,0.98668,0.95581,0.97896,0.72663,1.04671,0.36277,1.06047,0.000694,0.000694,0.000694
96,18875.4,0.82663,0.30668,0.98194,0.98759,0.95216,0.97821,0.72468,1.04702,0.3633,1.06091,0.000595,0.000595,0.000595
97,19073.2,0.8222,0.30453,0.98755,0.98644,0.95171,0.97862,0.7259,1.04751,0.36377,1.06172,0.000496,0.000496,0.000496
98,19270.8,0.81344,0.29878,0.9821,0.98746,0.95125,0.97883,0.72647,1.0465,0.36303,1.06113,0.000397,0.000397,0.000397
99,19468.4,0.80701,0.29741,0.98037,0.98742,0.95125,0.97894,0.72695,1.04705,0.36321,1.06177,0.000298,0.000298,0.000298
100,19666.1,0.80708,0.29702,0.97878,0.98771,0.9517,0.97887,0.72681,1.04882,0.36359,1.06236,0.000199,0.000199,0.000199
